Country,Country_Code,Year,Electric cars sold,Electric cars,Non-electric cars,Plug-in hybrid,Battery-electric,Electric car stocks,Total_Cars_Sold,EV_Market_Share_Pct
Australia,AUS,2012,250,250,861819,0.00928,0.01972,300.0,862069,0.03
Australia,AUS,2013,290,290,878498,0.01137931,0.02162069,590.0,878788,0.03
Australia,AUS,2014,1320,1320,878680,0.10795455,0.04204545,1880.0,880000,0.15
Australia,AUS,2015,1760,1760,924556,0.10795455,0.08204545,3600.0,926316,0.19
Australia,AUS,2016,1370,1370,911963,0.07664234,0.07335766,5000.0,913333,0.15
Australia,AUS,2017,2300,2300,917700,0.11956522,0.13043478,7300.0,920000,0.25
Australia,AUS,2018,3600,3600,874449,0.205,0.205,10900.0,878049,0.41
Australia,AUS,2019,9200,9200,757467,0.37826088,0.82173914,20600.0,766667,1.2
Australia,AUS,2020,6900,6900,620373,0.27101448,0.8289855,27000.0,627273,1.1
Australia,AUS,2021,20400,20400,708171,0.46666667,2.3333333,48000.0,728571,2.8
Australia,AUS,2022,38900,38900,739100,0.7583548,4.2416453,88000.0,778000,5.0
Australia,AUS,2023,98000,98000,718667,1.3469387,10.653061,181000.0,816667,12.0
Australia,AUS,2024,112000,112000,749538,2.4375,10.5625,302000.0,861538,13.0
Austria,AUT,2015,2800,2800,308311,0.35357144,0.54642856,6500.0,311111,0.9
Austria,AUT,2016,5000,5000,328333,0.36,1.14,11400.0,333333,1.5
Austria,AUT,2017,7100,7100,347900,0.47887325,1.5211267,18900.0,355000,2.0
Austria,AUT,2018,9100,9100,340900,0.6571429,1.9428571,26700.0,350000,2.6
Austria,AUT,2019,11500,11500,317071,0.6695652,2.8304348,38000.0,328571,3.5
Austria,AUT,2020,23600,23600,224821,3.059322,6.440678,60000.0,248421,9.5
Austria,AUT,2021,48000,48000,192000,6.25,13.75,106000.0,240000,20.0
Austria,AUT,2022,47000,47000,166636,6.0851064,15.914893,152000.0,213636,22.0
Austria,AUT,2023,65000,65000,175741,7.0615387,19.938461,218000.0,240741,27.0
Austria,AUT,2024,62000,62000,196333,6.580645,17.419355,275000.0,258333,24.0
Belgium,BEL,2010,56,56,559944,0.00142857,0.00857143,70.0,560000,0.01
Belgium,BEL,2011,296,296,568935,0.00281081,0.04918919,346.0,569231,0.05
Belgium,BEL,2012,910,910,478037,0.07098901,0.11901099,1180.0,478947,0.19
Belgium,BEL,2013,560,560,508531,0.01178571,0.09821429,1790.0,509091,0.11
Belgium,BEL,2014,1950,1950,473660,0.13666667,0.27333334,3700.0,475610,0.41
Belgium,BEL,2015,3900,3900,509258,0.4871795,0.2728205,7100.0,513158,0.76
Belgium,BEL,2016,9200,9200,531976,1.3119565,0.3880435,16200.0,541176,1.7
Belgium,BEL,2017,14700,14700,550685,2.122449,0.477551,30500.0,565385,2.6
Belgium,BEL,2018,13200,13200,536800,1.7454545,0.6545454,44000.0,550000,2.4
Belgium,BEL,2019,17700,17700,535425,1.6090395,1.5909605,60000.0,553125,3.2
Belgium,BEL,2020,47000,47000,380273,7.489362,3.5106382,105000.0,427273,11.0
Belgium,BEL,2021,71000,71000,323444,12.169014,5.830986,172000.0,394444,18.0
Belgium,BEL,2022,97000,97000,276077,15.814433,10.185567,270000.0,373077,26.0
Belgium,BEL,2023,193000,193000,277732,21.243523,19.756477,470000.0,470732,41.0
Belgium,BEL,2024,197000,197000,261140,14.624366,28.375635,670000.0,458140,43.0
Brazil,BRA,2012,40,40,3076883,0.000585,0.000715,,3076923,0.0
Brazil,BRA,2013,72,72,2999928,0.0011,0.0013,,3000000,0.0
Brazil,BRA,2015,89,89,2118959,0.00132135,0.00287865,148.0,2119048,0.0
Brazil,BRA,2016,177,177,1608914,0.0029209,0.0080791,325.0,1609091,0.01
Brazil,BRA,2017,430,430,1869135,0.01551163,0.00748837,680.0,1869565,0.02
Brazil,BRA,2018,410,410,2049590,0.01121951,0.00878049,1050.0,2050000,0.02
Brazil,BRA,2019,1940,1940,2307584,0.06061856,0.02338144,2990.0,2309524,0.08
Brazil,BRA,2020,2600,2600,1622400,0.11076923,0.04923077,5400.0,1625000,0.16
Brazil,BRA,2021,13900,13900,1496970,0.72805756,0.19194245,19400.0,1510870,0.92
Brazil,BRA,2022,18500,18500,1523167,0.6486487,0.55135137,39000.0,1541667,1.2
Brazil,BRA,2023,52000,52000,1681333,1.9038461,1.0961539,92000.0,1733333,3.0
Brazil,BRA,2024,125000,125000,1828125,3.2256,3.1744,214000.0,1953125,6.4
Canada,CAN,2011,520,520,1267773,0.02365385,0.01734615,550.0,1268293,0.04
Canada,CAN,2012,1920,1920,1369509,0.09479167,0.04520833,2430.0,1371429,0.14
Canada,CAN,2013,3100,3100,1405991,0.10645161,0.11354839,5500.0,1409091,0.22
Canada,CAN,2014,5100,5100,1452043,0.15784314,0.19215687,10700.0,1457143,0.35
Canada,CAN,2015,6800,6800,1504311,0.15882353,0.29117647,17600.0,1511111,0.45
Canada,CAN,2016,11600,11600,1514716,0.41931033,0.34068966,29000.0,1526316,0.76
Canada,CAN,2017,16700,16700,1653300,0.47904193,0.52095807,47000.0,1670000,1.0
Canada,CAN,2018,44000,44000,1527429,1.3363637,1.4636364,87000.0,1571429,2.8
Canada,CAN,2019,51000,51000,1449000,1.2666667,2.1333334,136000.0,1500000,3.4
Canada,CAN,2020,51000,51000,1163286,1.1529412,3.0470588,212000.0,1214286,4.2
Canada,CAN,2021,87000,87000,1272375,2.05977,4.34023,300000.0,1359375,6.4
Canada,CAN,2022,115000,115000,1095526,1.9826087,7.517391,410000.0,1210526,9.5
Canada,CAN,2023,171000,171000,1144385,3.116959,9.883041,550000.0,1315385,13.0
Canada,CAN,2024,252000,252000,1230353,4.1825395,12.81746,860000.0,1482353,17.0
Chile,CHL,2014,19,19,240487,0.00582105,0.00207895,33.0,240506,0.01
Chile,CHL,2015,36,36,189438,0.01213889,0.00686111,69.0,189474,0.02
Chile,CHL,2016,31,31,206636,0.00435484,0.01064516,100.0,206667,0.01
Chile,CHL,2017,135,135,210803,0.00711111,0.05688889,231.0,210938,0.06
Chile,CHL,2018,198,198,247302,0.02747475,0.05252525,410.0,247500,0.08
Chile,CHL,2019,305,305,217552,0.03901639,0.10098361,650.0,217857,0.14
Chile,CHL,2020,239,239,119261,0.06610879,0.13389121,840.0,119500,0.2
Chile,CHL,2021,860,860,295692,0.10116279,0.18883722,1410.0,296552,0.29
Chile,CHL,2022,1770,1770,293230,0.15932202,0.44067797,2900.0,295000,0.6
Chile,CHL,2023,2110,2110,279223,0.18127961,0.5687204,5700.0,281333,0.75
Chile,CHL,2024,5600,5600,261067,0.4125,1.6875,11300.0,266667,2.1
China,CHN,2010,1440,1440,14398560,0.00236111,0.00763889,1940.0,14400000,0.01
China,CHN,2011,5120,5120,15053704,0.002125,0.031875,6960.0,15058824,0.03
China,CHN,2012,9860,9860,13496989,0.00192495,0.07107505,16920.0,13506849,0.07
China,CHN,2013,15730,15730,16542165,0.00440877,0.09059123,32600.0,16557895,0.09
China,CHN,2014,73000,73000,18177000,0.13150685,0.26849315,85000.0,18250000,0.4
China,CHN,2015,211000,211000,20889000,0.28909954,0.7109005,297000.0,21100000,1.0
China,CHN,2016,339000,339000,22261000,0.34955752,1.1504425,630000.0,22600000,1.5
China,CHN,2017,580000,580000,23586667,0.45517242,1.9448276,1210000.0,24166667,2.4
China,CHN,2018,1090000,1090000,22101489,1.1642202,3.5357797,2240000.0,23191489,4.7
China,CHN,2019,1060000,1060000,20140000,1.0849056,3.9150944,3370000.0,21200000,5.0
China,CHN,2020,1140000,1140000,18860000,1.1,4.6,4490000.0,20000000,5.7
China,CHN,2021,3250000,3250000,18416667,2.5384614,12.461538,7800000.0,21666667,15.0
China,CHN,2022,5900000,5900000,14444828,7.37,21.62712,14100000.0,20344828,29.0
China,CHN,2023,8100000,8100000,13215790,12.666667,25.333334,21800000.0,21315790,38.0
China,CHN,2024,11300000,11300000,12241667,20.81416,27.18584,34000000.0,23541667,48.0
Denmark,DNK,2011,422,422,168378,0.00118483,0.24881516,500.0,168800,0.25
Denmark,DNK,2012,502,502,172601,0.00693227,0.28306773,1214.0,173103,0.29
Denmark,DNK,2013,510,510,181633,0.0054902,0.2745098,1514.0,182143,0.28
Denmark,DNK,2014,1690,1690,184024,0.04846154,0.86153847,3000.0,185714,0.91
Denmark,DNK,2015,4720,4720,200497,0.20466103,2.095339,8470.0,205217,2.3
Denmark,DNK,2016,1870,1870,220749,0.25604278,0.5839572,9800.0,222619,0.84
Denmark,DNK,2017,1330,1330,220337,0.27969924,0.32030076,10600.0,221667,0.6
Denmark,DNK,2018,4600,4600,214448,1.4152174,0.6847826,15200.0,219048,2.1
Denmark,DNK,2019,9400,9400,214410,1.7425532,2.4574468,25900.0,223810,4.2
Denmark,DNK,2020,32000,32000,168000,9.0,7.0,62000.0,200000,16.0
Denmark,DNK,2021,65000,65000,120714,21.538462,13.461538,145000.0,185714,35.0
Denmark,DNK,2022,57000,57000,93000,17.333334,20.666666,210000.0,150000,38.0
Denmark,DNK,2023,80000,80000,93913,9.775,36.225,310000.0,173913,46.0
Denmark,DNK,2024,96100,96100,75507,4.1373568,51.862644,460000.0,171607,56.0
Finland,FIN,2012,181,181,106290,0.12209945,0.04790055,240.0,106471,0.17
Finland,FIN,2013,220,220,104542,0.16227274,0.04772727,470.0,104762,0.21
Finland,FIN,2014,440,440,106877,0.24227273,0.16772728,930.0,107317,0.41
Finland,FIN,2015,660,660,109340,0.38181818,0.21818182,1580.0,110000,0.6
Finland,FIN,2016,1420,1420,116913,1.0140845,0.18591549,3240.0,118333,1.2
Finland,FIN,2017,3100,3100,120900,2.096774,0.4032258,7100.0,124000,2.5
Finland,FIN,2018,5680,5680,117798,3.9683099,0.63169014,15400.0,123478,4.6
Finland,FIN,2019,7900,7900,110010,5.088608,1.6113924,29700.0,117910,6.7
Finland,FIN,2020,17200,17200,78356,13.604651,4.395349,55700.0,95556,18.0
Finland,FIN,2021,30000,30000,70000,20.0,10.0,100000.0,100000,30.0
Finland,FIN,2022,31000,31000,52784,19.096775,17.903225,145000.0,83784,37.0
Finland,FIN,2023,48000,48000,40889,20.25,33.75,224000.0,88889,54.0
Finland,FIN,2024,37000,37000,37000,20.27027,29.72973,260000.0,74000,50.0
France,FRA,2010,272,272,2266395,0.00361765,0.00838235,,2266667,0.01
France,FRA,2011,2656,2656,2210677,0.00253012,0.11746988,2996.0,2213333,0.12
France,FRA,2012,6360,6360,1920913,0.03424528,0.29575473,9300.0,1927273,0.33
France,FRA,2013,9750,9750,1829873,0.04620513,0.48379487,18500.0,1839623,0.53
France,FRA,2014,13100,13100,1885451,0.11061069,0.57938933,31600.0,1898551,0.69
France,FRA,2015,23800,23800,1959533,0.29243696,0.90756303,54300.0,1983333,1.2
France,FRA,2016,30600,30600,2155114,0.34771243,1.0522876,84000.0,2185714,1.4
France,FRA,2017,38000,38000,2197294,0.5368421,1.1631579,147000.0,2235294,1.7
France,FRA,2018,48000,48000,2352000,0.625,1.375,188000.0,2400000,2.0
France,FRA,2019,64000,64000,2306370,0.8015625,1.8984375,255000.0,2370370,2.7
France,FRA,2020,185000,185000,1496818,4.4594593,6.5405407,440000.0,1681818,11.0
France,FRA,2021,310000,310000,1513529,7.677419,9.32258,740000.0,1823529,17.0
France,FRA,2022,340000,340000,1360000,7.647059,12.3529415,1050000.0,1700000,20.0
France,FRA,2023,470000,470000,1410000,8.510638,16.48936,1570000.0,1880000,25.0
France,FRA,2024,450000,450000,1425000,8.0,16.0,1750000.0,1875000,24.0
Germany,DEU,2011,1640,1640,3152206,0.00760976,0.04439024,1840.0,3153846,0.05
Germany,DEU,2012,3400,3400,3087509,0.03882353,0.07117647,5300.0,3090909,0.11
Germany,DEU,2013,6800,6800,2949722,0.05411765,0.17588235,12200.0,2956522,0.23
Germany,DEU,2014,13500,13500,2986500,0.14666668,0.30333334,25400.0,3000000,0.45
Germany,DEU,2015,23000,23000,3127685,0.34913042,0.38086957,45000.0,3150685,0.73
Germany,DEU,2016,24000,24000,3219243,0.40083334,0.33916667,66000.0,3243243,0.74
Germany,DEU,2017,54000,54000,3321000,0.85925925,0.7407407,104000.0,3375000,1.6
Germany,DEU,2018,67000,67000,3283000,0.92537314,1.0746269,165000.0,3350000,2.0
Germany,DEU,2019,108000,108000,3492000,1.25,1.75,240000.0,3600000,3.0
Germany,DEU,2020,390000,390000,2395714,7.179487,6.820513,610000.0,2785714,14.0
Germany,DEU,2021,690000,690000,1963846,12.434783,13.565217,1250000.0,2653846,26.0
Germany,DEU,2022,830000,830000,1847419,13.445783,17.554216,1860000.0,2677419,31.0
Germany,DEU,2023,700000,700000,2216667,6.1714287,17.828571,2500000.0,2916667,24.0
Germany,DEU,2024,570000,570000,2430000,6.3333335,12.666667,3100000.0,3000000,19.0
Greece,GRC,2015,57,57,75943,0.02894737,0.04605263,119.0,76000,0.08
Greece,GRC,2016,97,97,80736,0.06927835,0.05072165,218.0,80833,0.12
Greece,GRC,2017,190,190,86174,0.16210526,0.05789474,410.0,86364,0.22
Greece,GRC,2018,298,298,102461,0.20436242,0.08563758,720.0,102759,0.29
Greece,GRC,2019,480,480,113806,0.25375,0.16625,1200.0,114286,0.42
Greece,GRC,2020,2180,2180,78561,1.8577982,0.8422018,3300.0,80741,2.7
Greece,GRC,2021,7000,7000,94449,4.7314286,2.1685715,10300.0,101449,6.9
Greece,GRC,2022,8300,8300,96763,5.2349396,2.6650603,19400.0,105063,7.9
Greece,GRC,2023,17000,17000,113769,7.647059,5.352941,34000.0,130769,13.0
Greece,GRC,2024,17000,17000,124667,5.8588233,6.1411767,45000.0,141667,12.0
Iceland,ISL,2012,26,26,7853,0.11423077,0.21576923,40.0,7879,0.33
Iceland,ISL,2013,103,103,7254,0.31262136,1.0873786,142.0,7357,1.4
Iceland,ISL,2014,229,229,9313,0.30393013,2.0960698,292.0,9542,2.4
Iceland,ISL,2015,560,560,13799,1.1839286,2.7160714,710.0,14359,3.9
Iceland,ISL,2016,1160,1160,17253,4.236207,2.0637932,1560.0,18413,6.3
Iceland,ISL,2017,3040,3040,18674,10.131578,3.868421,3900.0,21714,14.0
Iceland,ISL,2018,3680,3680,14720,15.76087,4.2391305,8000.0,18400,20.0
Iceland,ISL,2019,3100,3100,8823,16.774193,9.225806,11000.0,11923,26.0
Iceland,ISL,2020,4900,4900,4523,25.469387,26.530613,15000.0,9423,52.0
Iceland,ISL,2021,9100,9100,3900,37.692307,32.307693,21500.0,13000,70.0
Iceland,ISL,2022,12000,12000,5391,29.325,39.675,33000.0,17391,69.0
Iceland,ISL,2023,12400,12400,5065,13.741936,57.258064,44000.0,17465,71.0
Iceland,ISL,2024,4300,4300,5938,15.627907,26.372093,53000.0,10238,42.0
India,IND,2019,687,687,2861813,0.00024454,0.02375546,8607.0,2862500,0.02
India,IND,2020,3143,3143,2616024,0.00164174,0.11835826,12050.0,2619167,0.12
India,IND,2021,12050,12050,2926974,0.00170124,0.40829876,23100.0,2939024,0.41
India,IND,2022,48023,48023,3382191,0.00067051,1.3993295,72120.0,3430214,1.4
India,IND,2023,82270,82270,3835349,0.00689194,2.0931082,150390.0,3917619,2.1
India,IND,2024,92095,92095,4293381,0.00216624,2.0978339,240480.0,4385476,2.1
Israel,ISR,2012,601,601,221992,0.00044925,0.26955074,611.0,222593,0.27
Israel,ISR,2013,477,477,226666,0.00748428,0.20251572,1018.0,227143,0.21
Israel,ISR,2014,58,58,263578,0.01972414,0.00227586,1270.0,263636,0.02
Israel,ISR,2015,68,68,283265,0.02294118,0.00105882,1340.0,283333,0.02
Israel,ISR,2016,68,68,309023,0.02038235,0.00161765,1400.0,309091,0.02
Israel,ISR,2017,1630,1630,311832,0.4785276,0.04147239,3100.0,313462,0.52
Israel,ISR,2018,3730,3730,307103,1.1581769,0.04182306,6800.0,310833,1.2
Israel,ISR,2019,4750,4750,292125,1.3136842,0.2863158,11400.0,296875,1.6
Israel,ISR,2020,6900,6900,258485,2.0347826,0.5652174,18800.0,265385,2.6
Israel,ISR,2021,24000,24000,323826,3.7375,3.1625,43000.0,347826,6.9
Israel,ISR,2022,43000,43000,315333,4.4651165,7.5348835,88000.0,358333,12.0
Israel,ISR,2023,65000,65000,317353,4.1846156,12.815385,151000.0,382353,17.0
Israel,ISR,2024,76400,76400,287410,2.0340314,18.96597,228000.0,363810,21.0
Italy,ITA,2013,1040,1040,1298960,0.01384615,0.06615385,2180.0,1300000,0.08
Italy,ITA,2014,1340,1340,1338660,0.02537313,0.07462687,3620.0,1340000,0.1
Italy,ITA,2015,2240,2240,1597760,0.04625,0.09375,5700.0,1600000,0.14
Italy,ITA,2016,2700,2700,1797300,0.07222222,0.07777778,8500.0,1800000,0.15
Italy,ITA,2017,4900,4900,1955100,0.14795917,0.10204082,13400.0,1960000,0.25
